X,Y,OBJECTID,Count_,Int_Number,Location,Dist
-71.063166503608812,42.340135356512434,748,32,3113,Albany St Connector & Frontage Rd NB,BP
-71.06886388537076,42.392556309680771,749,36,953,Alford St @ Edison Gate,CH
-71.113755407647631,42.350966873283582,750,57,3094,Amory St & Commonwealth Ave (N. Rdwy),BP
-71.113798322995819,42.350792435982221,751,58,3095,Amory St & Commonwealth Ave (S. Rdwy),BP
-71.092794853080733,42.295207700381489,752,50,3020,American Legion Hwy & Lena Park (@#150),WR
-71.112171137739537,42.301699002783323,753,64,2164,"Arborway Ramps, Hyde Park Ave, New Washington St, & Washington St",WR
-71.052892875656539,42.354012760086661,754,88,4102,Atlantic Ave & Pearl St,BP
-71.051991653200531,42.35520203480344,755,784,558,"Purchase St, Ramp CS-P, & Seaport Blvd",BP
-71.052699756592801,42.354853183204824,756,783,1217,Purchase St @ Firehouse,BP
-71.057484819505774,42.36276529491164,757,821,4094,Sudbury St & Surface Rd SB,BP
-71.065102295872151,42.367283789320126,758,743,460,Nashua St @ #100,BP
-71.070855580035555,42.36137509214327,759,279,9010,"Cambridge St, Charles Circle, & Charles St",BP
-71.070919953044523,42.360883576285723,760,0,9008,"Charles Circle, Charles St, & Storrow Dr Ramp",BP
-71.067486724733286,42.367003467433491,761,687,4036,"Lowell St, Nashua St, & Ramp CN/N-LC",BP
-71.068108997400486,42.366511995589448,762,682,9050,"Msgr O'Brien Hwy, Nashua St, & Storrow Dr (Leverett Circle)",BP
-71.042831850412639,42.350465707871095,763,102,2351,B St & Seaport Blvd,SB
-71.043690157509531,42.349260485188715,764,103,4058,"B St, Congress St, & Ramps D & F",SB
-71.05225177167506,42.352336928530711,765,436,361,Congress St & Dorchester Ave,BP
-71.040278386445976,42.347944228893127,766,435,4059,Congress St & D St,SB
-71.064890343725068,42.33546221038867,767,595,9995,Frontage Rd NB & Massachusetts Ave Connector,SB
-71.063774544318505,42.333907732312923,768,596,9990,Frontage Rd NB & South Boston Bypass Rd,SB
-71.064439732360498,42.333701523125171,769,599,9991,Frontage Rd SB & South Boston Bypass Rd,SB
-71.061199623395098,42.343852556423293,770,597,4114,Frontage Rd NB & Traveler St,SB
